cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
12	PLCG2	3.53664937711509	0.968	0.526	3.79384084965698e-95	8.9576376301251e-91	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
12	H3F3A	-0.728997183309364	1	1	2.67759149591097e-64	6.3220612809954e-60	H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]
12	SUMO2	-0.774920210591096	1	1	6.74658792378038e-63	1.59293687468379e-58	small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]
12	RMRP	1.79828849762926	0.462	0.101	3.33017987464974e-58	7.86288770203549e-54	RNA component of mitochondrial RNA processing endoribonuclease [Source:HGNC Symbol;Acc:HGNC:10031]
12	CFL1	-0.581298803965084	1	1	2.76049697801271e-56	6.51780941478582e-52	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]
12	AL627171.2	2.2429740675301	0.917	0.591	2.67846222862867e-55	6.32411716801515e-51	novel transcript
12	NDUFC2	-0.832960086793769	1	1	2.03411354554661e-54	4.8027454923901e-50	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]
12	UQCRH	-0.540698602501796	1	1	1.78208899112505e-51	4.20769031694535e-47	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]
12	H2AFZ	-0.709980808651845	1	1	1.58909870414175e-49	3.75202095034909e-45	H2A histone family member Z [Source:HGNC Symbol;Acc:HGNC:4741]
12	FTH1	-0.989180892540473	1	1	9.41257623872982e-48	2.2224033757265e-43	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]
12	RPS15	0.535830090275091	1	1	5.70042866682276e-47	1.34592821252352e-42	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]
12	SLC25A5	-0.678616407616826	1	1	7.10583806496691e-45	1.67775942551934e-40	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]
