cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
2	MT2A	1.85163076440027	0.992	0.941	0	0	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
2	MT1X	1.73356608726641	0.97	0.835	0	0	metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
2	GADD45B	1.34101094212383	0.837	0.553	0	0	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
2	NFKBIA	1.23952927272213	0.978	0.918	0	0	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
2	HES1	1.11340899665223	0.839	0.569	0	0	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
2	ID2	1.02475863422218	0.968	0.849	0	0	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
2	JUNB	0.99735925641223	0.96	0.881	0	0	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
2	ID1	0.987259997528922	1	0.997	0	0	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]
2	MT1F	0.965825687173298	0.91	0.687	0	0	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]
2	EID2	0.855183541410413	0.969	0.893	0	0	EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol;Acc:HGNC:28292]
2	DDIT3	0.807845372434519	0.928	0.791	0	0	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]
2	SLC30A1	0.800092223115778	0.824	0.553	0	0	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
2	OSER1	0.76720938669538	0.966	0.873	0	0	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]
2	SNHG15	0.73831714236271	0.957	0.863	0	0	small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:HGNC:27797]
2	AL118516.1	0.709004096717215	0.572	0.334	0	0	novel transcript, antisense to TBC1D22A
2	IER2	0.70726211517202	0.994	0.969	0	0	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]
