cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
16	GAS5	1.02193797741297	1	0.996	0	0	growth arrest specific 5 [Source:HGNC Symbol;Acc:HGNC:16355]
16	SNHG29	0.744619067601251	1	1	0	0	small nucleolar RNA host gene 29 [Source:HGNC Symbol;Acc:HGNC:28619]
16	SNHG8	0.91404351461851	1	0.997	9.52024949964541e-288	2.24782610936128e-283	small nucleolar RNA host gene 8 [Source:HGNC Symbol;Acc:HGNC:33098]
16	RPL22L1	0.935793987723038	0.993	0.969	9.22319636941723e-268	2.1776888947831e-263	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
16	SNHG5	0.64407307878744	1	0.999	2.15637313899716e-266	5.09141261848621e-262	small nucleolar RNA host gene 5 [Source:HGNC Symbol;Acc:HGNC:21026]
16	EDF1	-0.90914179629943	0.721	0.968	8.33835394186324e-259	1.96876874921333e-254	endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]
16	EPB41L4A-AS1	0.791556566209912	0.984	0.862	6.50546515649667e-258	1.53600537810043e-253	EPB41L4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30749]
16	RPS9	0.493075298627043	1	1	3.19830646197199e-255	7.55152138736206e-251	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]
16	MT-ND2	-1.30737344737394	0.984	0.997	1.45508517975474e-241	3.43560161791892e-237	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
16	NMU	-1.33939364911038	0.521	0.915	1.03516613680149e-239	2.444130765602e-235	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]
16	TUBB	-0.944872030798848	0.907	0.99	4.09326202229383e-237	9.66460096083796e-233	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]
16	SNHG7	0.803753913509459	0.999	0.978	4.97372754146375e-231	1.17434680981501e-226	small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]
16	SNHG12	1.03393057656774	0.933	0.616	2.07745560158196e-230	4.90508042089516e-226	small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]
16	EIF5	0.682767365702153	0.999	0.994	1.08134958688458e-229	2.55317450959317e-225	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]
16	RPF2	0.663744359758151	0.989	0.913	8.31913793260235e-221	1.96423165726674e-216	ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870]
16	MT-ND1	-1.18327973857046	0.993	0.998	2.19259239730588e-218	5.17692990927892e-214	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
16	EIF3E	0.443366377637938	1	0.999	1.18014315912594e-215	2.78643601301226e-211	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]
16	ATF3	0.91922676494066	0.841	0.442	4.34466428278935e-214	1.02581868380939e-209	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]
16	TXNIP	0.956998604642243	0.967	0.783	3.04179919108877e-213	7.1819920700797e-209	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]
16	MT-ND3	-1.23245715680231	0.995	0.999	3.25714352591065e-213	7.69044157902763e-209	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
16	EIF4A1	0.529062012897235	1	1	8.8233130265322e-213	2.08327243869452e-208	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]
16	RPL24	0.411167264748827	1	1	4.44074635681107e-211	1.04850462230666e-206	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
