cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
4	HIST1H4C	1.34170608997785	0.95	0.828	0	0	histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
4	HIST2H2AC	0.76700516622422	0.731	0.252	0	0	histone cluster 2 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4738]
4	HELLS	0.668974221246562	0.888	0.651	0	0	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]
4	HIST1H1E	0.666771144745833	0.581	0.175	0	0	histone cluster 1 H1 family member e [Source:HGNC Symbol;Acc:HGNC:4718]
4	MKI67	0.645618917407128	0.843	0.646	0	0	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
4	PCLAF	0.638027750167955	0.984	0.853	0	0	PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]
4	TYMS	0.634590004705083	0.928	0.738	0	0	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]
4	TUBB	0.605969991158968	0.998	0.987	0	0	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]
4	RRM2	0.601424548406651	0.876	0.738	0	0	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]
4	TOP2A	0.567419146895767	0.817	0.543	0	0	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
4	CLSPN	0.557045034888447	0.745	0.415	0	0	claspin [Source:HGNC Symbol;Acc:HGNC:19715]
4	HIST1H1D	0.556634253147217	0.398	0.089	0	0	histone cluster 1 H1 family member d [Source:HGNC Symbol;Acc:HGNC:4717]
4	CDK1	0.549341932825845	0.916	0.68	0	0	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]
4	TUBA1B	0.545403197419802	1	0.991	0	0	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]
4	UBE2T	0.532597851900945	0.9	0.721	0	0	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]
4	TMPO	0.512987207679136	0.908	0.765	0	0	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]
4	ATAD2	0.510291415993733	0.911	0.747	0	0	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]
4	HMGB2	0.509789243365415	0.948	0.804	0	0	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
4	H1FX	0.49653034522731	0.999	0.981	0	0	H1 histone family member X [Source:HGNC Symbol;Acc:HGNC:4722]
4	MYBL2	0.495461784879462	0.978	0.897	0	0	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
4	PCNA	0.495438838446174	0.72	0.437	0	0	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]
4	RRM1	0.483733570269148	0.843	0.55	0	0	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]
4	MCM3	0.476781250904582	0.88	0.709	0	0	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]
4	SMC1A	0.474537629967239	0.975	0.957	0	0	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]
4	TOPBP1	0.469707323110003	0.975	0.889	0	0	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]
4	USP1	0.468161921032057	0.929	0.791	0	0	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]
4	PRIM1	0.46616073485975	0.714	0.32	0	0	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]
