cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
11	SNHG19	1.69856052034615	1	0.921	0	0	small nucleolar RNA host gene 19 [Source:HGNC Symbol;Acc:HGNC:49574]
11	AC010997.5	1.27103577673743	0.801	0.23	0	0	novel transcript
11	AC103591.3	1.12833443275948	0.764	0.258	0	0	novel transcript, antisense to DNAJB4
11	SNHG3	1.12030167254339	1	0.925	0	0	small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]
11	SNHG4	1.01640627384816	0.871	0.38	0	0	small nucleolar RNA host gene 4 [Source:HGNC Symbol;Acc:HGNC:32964]
11	AC245014.3	0.867820401834854	0.599	0.084	0	0	novel transcript
11	AC132192.2	0.863273336892653	0.725	0.18	0	0	novel transcript, antisense to ZNF143
11	LINC01311	0.719518797637616	0.621	0.111	0	0	long intergenic non-protein coding RNA 1311 [Source:HGNC Symbol;Acc:HGNC:50503]
11	CAPN10-DT	0.689511314200404	0.605	0.147	0	0	CAPN10 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48839]
11	AC233280.1	0.687948159267443	0.604	0.098	0	0	novel transcript
11	AL391121.1	0.686237516212863	0.566	0.125	0	0	novel transcript
11	AC073352.1	0.675931380486367	0.523	0.051	0	0	novel transcript
11	DDN-AS1	0.572701027484078	0.547	0.119	0	0	DDN and PRKAG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53464]
11	AC010331.1	0.568131291324362	0.523	0.09	0	0	novel transcript, antisense to GLTSCR1
11	AC099791.2	0.556207547286642	0.463	0.051	0	0	novel transcript
11	AC016773.1	0.505841597458346	0.44	0.065	0	0	novel transcript
11	AJM1	0.504555045955783	0.482	0.094	0	0	apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284]
11	AC008764.6	0.407671244973094	0.397	0.066	5.7702822726584e-305	1.36242134739737e-300	novel transcript
11	KMT2E-AS1	0.637657690167245	0.669	0.197	1.78044958016665e-300	4.20381950373148e-296	KMT2E antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40845]
11	LINC01003	0.517925223064663	0.508	0.111	1.85783273850337e-294	4.38652887888031e-290	long intergenic non-protein coding RNA 1003 [Source:HGNC Symbol;Acc:HGNC:48957]
11	AC068205.2	0.479766144495193	0.473	0.097	4.26119962841937e-291	1.0061118442661e-286	novel transcript
11	ZKSCAN2-DT	0.476009885291972	0.476	0.099	1.48683530613908e-286	3.51056684132498e-282	ZKSCAN2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53912]
11	AC092171.4	0.426909835777637	0.431	0.081	1.98455907504168e-283	4.68574243208091e-279	novel transcript
11	AP001437.1	0.441519411232691	0.39	0.068	7.4062545806394e-276	1.74869076903477e-271	novel transcript, antisense to DYRK1A
11	CSKMT	0.871000812960193	0.992	0.855	2.35193023949305e-275	5.55314248846704e-271	citrate synthase lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:33113]
11	MHENCR	0.746740131012699	0.765	0.294	1.89851101911964e-274	4.48257436724339e-270	melanoma highly expressed competing endogenous lncRNA for miR-425 and miR-489 [Source:HGNC Symbol;Acc:HGNC:53110]
11	SNHG25	0.875741485446998	0.998	0.889	2.88977562922653e-274	6.82304923816676e-270	small nucleolar RNA host gene 25 [Source:HGNC Symbol;Acc:HGNC:51534]
