cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
15	CRYAB	2.09525963874849	0.982	0.541	0	0	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]
15	S100A11	0.44633957449365	1	0.997	2.08054657950129e-141	4.91237852886051e-137	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]
15	MALAT1	-0.889683604721708	1	1	7.80548606417822e-138	1.84295331461312e-133	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
15	NEAT1	-0.624179096236521	0.997	0.999	2.27911053899903e-95	5.38120789363062e-91	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
15	FHL2	0.538880404895359	0.838	0.563	2.83664455594837e-95	6.6976014610497e-91	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
15	LGALS3	0.432487803794675	0.974	0.923	1.23884389095791e-94	2.92503431094071e-90	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]
15	LGALS1	0.411818482402298	0.989	0.95	1.53612374201503e-86	3.6269417672717e-82	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]
15	KRT7	0.441355768542201	0.999	0.989	5.10664994840659e-75	1.20573111931828e-70	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]
15	MT-CO2	-0.447574335883393	1	1	4.84636310726695e-60	1.1442747932568e-55	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
15	NUPR1	0.412485824833421	0.285	0.13	4.23244429046118e-54	9.99322421420789e-50	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]
15	PPP1R14A	0.427397747448725	0.798	0.622	1.24021508599719e-53	2.92827183954797e-49	protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871]
15	MT-ND2	-0.552808070905986	0.998	0.997	3.06630866351128e-51	7.23986138541648e-47	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
15	PHGDH	0.406014785499293	0.863	0.746	4.42545218522658e-51	1.04489351545385e-46	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]
15	MT-ND4	-0.520338495390316	1	0.999	2.99425464710618e-49	7.06973464728239e-45	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
15	MT-CO1	-0.459772899606665	1	0.999	3.82849100965939e-46	9.03945012290679e-42	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
15	MT-ND1	-0.494304454560043	0.998	0.998	4.63457777584668e-46	1.09427015865516e-41	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
15	SNHG7	-0.567223597654581	0.983	0.979	7.92341580304294e-46	1.87079770525647e-41	small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]
15	MT-ND3	-0.484885567069007	0.998	0.999	1.58520771126756e-43	3.74283392707383e-39	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
15	MT-CYB	-0.409004229716302	1	0.999	3.55025451528378e-35	8.38250593603653e-31	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
15	SNHG9	-0.43714175302007	0.971	0.956	9.95075030554043e-34	2.34947165464115e-29	small nucleolar RNA host gene 9 [Source:HGNC Symbol;Acc:HGNC:33102]
15	MT-ATP6	-0.493796531609203	1	0.999	7.81357590366132e-33	1.84486340661347e-28	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
15	SNHG12	-0.435992320247012	0.453	0.63	1.55786258302305e-32	3.67826934477572e-28	small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]
15	MT-CO3	-0.466974650898676	1	0.999	5.67644455776803e-30	1.34026532453461e-25	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
15	IER3	-0.467955244271162	0.722	0.767	2.79193115404711e-21	6.59202864782064e-17	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
15	PLCG2	-1.05576584340854	0.395	0.532	5.12435680854209e-18	1.20991188606487e-13	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
15	HIST1H4C	-0.4436454745513	0.85	0.843	4.1343048676376e-16	9.76150722297914e-12	histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
15	KCNQ1OT1	-0.449166361235334	0.755	0.753	1.66666630847184e-13	3.93516582093285e-09	KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]
15	MT-ND6	-0.421637689042587	0.856	0.824	1.03846148860528e-09	2.45191142074592e-05	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
